Threat-Vulnerability Relationship Matrix,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.6,Perform file access controls for analysts and programmers,X
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.7,"Periodically check software libraries, verify correspondence between source programs and objects",X
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.8,Functional tests on the correct functioning of safety procedures,X
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.9,Functional testing of security procedure vulnerabilities,X
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.10,Simulations of system errors that can reduce the effectiveness of the measures taken,X
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.11,System Penetration Test,X
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.12,"Identify all possible ""trap doors"" and use them to check the risk of penetration",X
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.13,Formal demonstrations of how the software works,X
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr22,Assigning access to application software and operating system according to need-to-know and qualification,X
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,s9,"Implementation of ""discretionary access control""",X
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,s10,"Implementation of ""mandatory access control""",X
M4,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,pr21,Hardware and software inventory,X
M4,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,pr26,Configuration Management,X
M4,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.1,Assigning a unique identifier to each entry,X
M4,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.2,Developing a Configuration Management Plan,X
M4,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.3,Recording all changes to a system's configuration,X
M4,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.4,Implementing a configuration control plan,X
M4,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.5,Life cycle assurance,X
M4,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,s7,Software for controlling system hardware/software configurations,X
M4,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,s7.1,Central Processing Unit Configuration Control,X
M4,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,s7.2,Check communication ports connected to the network,X
M4,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,s11,Trusted path,X
M4,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,s13,RAM resident application control program,X
M4,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,s14,Antivirus applications,X
M4,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,s14.1,Control of major operating system calls or specific malicious actions via TSR procedures,X
M4,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,s14.2,"Programs for scanning files, identifying the virus strain, identifying the type of infection, deleting infected files",X
M4,Asynchronous attack,V7,Untested software applications,2,pr9,Software development/update control,X
M4,Asynchronous attack,V7,Untested software applications,2,pr9.1,Setting the gold standard for software development,X
M4,Asynchronous attack,V7,Untested software applications,2,pr9.2,"Maintain a log of software changes, implementations, and the reasons for those changes",X
M4,Asynchronous attack,V7,Untested software applications,2,pr9.3,Definition of system security features,X
M4,Asynchronous attack,V7,Untested software applications,2,pr9.4,Establish control measures to ensure that approval and verification procedures are not circumvented,X
M4,Asynchronous attack,V7,Untested software applications,2,pr9.5,Assignment of authorized personnel to develop safety procedures,X
M4,Asynchronous attack,V7,Untested software applications,2,pr9.6,Perform file access controls for analysts and programmers,X
M4,Asynchronous attack,V7,Untested software applications,2,pr9.7,"Periodically check software libraries, verify correspondence between source programs and objects",X
M4,Asynchronous attack,V7,Untested software applications,2,pr9.8,Functional tests on the correct functioning of safety procedures,X
M4,Asynchronous attack,V7,Untested software applications,2,pr9.9,Functional testing of security procedure vulnerabilities,X
M4,Asynchronous attack,V7,Untested software applications,2,pr9.10,Simulations of system errors that can reduce the effectiveness of the measures taken,X
M4,Asynchronous attack,V7,Untested software applications,2,pr9.11,System Penetration Test,X
M4,Asynchronous attack,V7,Untested software applications,2,pr9.12,"Identify all possible ""trap doors"" and use them to check the risk of penetration",X
M4,Asynchronous attack,V7,Untested software applications,2,pr9.13,Formal demonstrations of how the software works,X
M4,Asynchronous attack,V23,Unauthorized software applications,2,pe3,Instructions on safety and personnel management,X
M4,Asynchronous attack,V23,Unauthorized software applications,2,pe3.1,Motivate staff to follow the company's safety policy,X
M4,Asynchronous attack,V23,Unauthorized software applications,2,pe3.2,Educate staff on possible threats and how to limit their extent by implementing mitigation measures.,X
M4,Asynchronous attack,V23,Unauthorized software applications,2,pe3.3,"Maintain constant attention to safety regulations by adopting posters, circular letters, educational videos",X
M4,Asynchronous attack,V23,Unauthorized software applications,2,pe3.4,Avoid situations of discontent on the part of employees,X
M4,Asynchronous attack,V23,Unauthorized software applications,2,pe3.5,Regularly review staff safety training,X
M4,Asynchronous attack,V23,Unauthorized software applications,2,pe3.6,Keep staff informed of safety news,X
M4,Asynchronous attack,V23,Unauthorized software applications,2,pe3.7,Maintain a climate of serenity within the company,X
M4,Asynchronous attack,V23,Unauthorized software applications,2,pe5,Establish a user support staff to perform security checks and provide assistance with security issues,X
M4,Asynchronous attack,V23,Unauthorized software applications,2,pr21,Hardware and software inventory,X
M4,Asynchronous attack,V23,Unauthorized software applications,2,pr22,Assigning access to application software and operating system according to need-to-know and qualification,X
M4,Asynchronous attack,V23,Unauthorized software applications,2,pr26,Configuration Management,X
M4,Asynchronous attack,V23,Unauthorized software applications,2,pr26.1,Assigning a unique identifier to each entry,X
M4,Asynchronous attack,V23,Unauthorized software applications,2,pr26.2,Developing a Configuration Management Plan,X
M4,Asynchronous attack,V23,Unauthorized software applications,2,pr26.3,Recording all changes to a system's configuration,X
M4,Asynchronous attack,V23,Unauthorized software applications,2,pr26.4,Implementing a configuration control plan,X
M4,Asynchronous attack,V23,Unauthorized software applications,2,pr26.5,Life cycle assurance,X
M4,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s3,Logical work area separation,X
M4,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s3.1,RAM memory area separation,X
M4,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s3.2,Partitioning work areas on mass storage devices,X
M4,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s3.3,"CPU operation in ""protected mode""",X
M4,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s4,Reusing objects,X
M4,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s4.1,Erasing blocks or pages of memory before they are allocated to another program or data,X
M4,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s4.2,Erase disk blocks when a file is deleted or before they are allocated to a new file,X
M4,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s4.3,Deleting objects from a graphical environment before allocating them to another user,X
M4,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s4.4,Clearing the keyboard buffer or buffer containing the password after logging in,X
M4,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s4.5,Deleting work pages and display pages from a terminal,X
M4,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s4.6,Clearing the printer buffer,X
M4,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s4.7,Deleting or reassigning access to information entered/processed by a user who no longer works on the system,X
M4,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s9,"Implementation of ""discretionary access control""",X
M4,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s10,"Implementation of ""mandatory access control""",X
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9,Software development/update control,X
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.1,Setting the gold standard for software development,X
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.2,"Maintain a log of software changes, implementations, and the reasons for those changes",X
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.3,Definition of system security features,X
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.4,Establish control measures to ensure that approval and verification procedures are not circumvented,X
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.5,Assignment of authorized personnel to develop safety procedures,X
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.6,Perform file access controls for analysts and programmers,X
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.7,"Periodically check software libraries, verify correspondence between source programs and objects",X
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.8,Functional tests on the correct functioning of safety procedures,X
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.9,Functional testing of security procedure vulnerabilities,X
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.10,Simulations of system errors that can reduce the effectiveness of the measures taken,X
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.11,System Penetration Test,X
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.12,"Identify all possible ""trap doors"" and use them to check the risk of penetration",X
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.13,Formal demonstrations of how the software works,X
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr22,Assigning access to application software and operating system according to need-to-know and qualification,X
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,s9,"Implementation of ""discretionary access control""",X
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,s10,"Implementation of ""mandatory access control""",X
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,pr21,Hardware and software inventory,X
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,pr26,Configuration Management,X
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.1,Assigning a unique identifier to each entry,X
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.2,Developing a Configuration Management Plan,X
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.3,Recording all changes to a system's configuration,X
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.4,Implementing a configuration control plan,X
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.5,Life cycle assurance,X
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,s7,Software for controlling system hardware/software configurations,X
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,s7.1,Central Processing Unit Configuration Control,X
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,s7.2,Check communication ports connected to the network,X
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,s11,Trusted path,X
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,s13,RAM resident application control program,X
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,s14,Antivirus applications,X
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,s14.1,Control of major operating system calls or specific malicious actions via TSR procedures,X
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,s14.2,"Programs for scanning files, identifying the virus strain, identifying the type of infection, deleting infected files",X
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9,Software development/update control,X
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.1,Setting the gold standard for software development,X
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.2,"Maintain a log of software changes, implementations, and the reasons for those changes",X
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.3,Definition of system security features,X
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.4,Establish control measures to ensure that approval and verification procedures are not circumvented,X
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.5,Assignment of authorized personnel to develop safety procedures,X
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.6,Perform file access controls for analysts and programmers,X
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.7,"Periodically check software libraries, verify correspondence between source programs and objects",X
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.8,Functional tests on the correct functioning of safety procedures,X
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.9,Functional testing of security procedure vulnerabilities,X
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.10,Simulations of system errors that can reduce the effectiveness of the measures taken,X
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.11,System Penetration Test,X
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.12,"Identify all possible ""trap doors"" and use them to check the risk of penetration",X
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.13,Formal demonstrations of how the software works,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1,Identification and authentication,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.1,Password is not displayed on screen as you type,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.2,The password is case sensitive.,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.3,Password requires special characters,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.4,Password must contain at least one numeric character,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.5,Password must contain at least one alphabetic character,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.6,The password must not contain more than three consecutive numbers or letters,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.7,The password must not contain more than two consecutive identical numbers or letters,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.8,New passwords must always be entered twice to verify correct typing.,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.9,Encryption of passwords in transit on the network,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.10,Encryption of passwords stored on the host,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.11,Access blocked after n failed login attempts,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.12,Time-limited access,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.13,Viewing Last Login Messages,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.14,Disabling system messages,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.15,Periodic password change request,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.16,Request for a different password from the previous one each time it is changed,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.17,Creation of pronounceable passwords by the system,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.18,Password expiration control,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.19,Minimum password length assignment,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.20,Consecutive request for multiple passwords after entering userid,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.21,Check new user-generated passwords,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.22,Stop requesting the userid for a certain period of time after n failed login attempts,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.23,Identification of a user with a unique personal code,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.24,Inactive terminals lock the screen or log off after a predetermined period of time,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.25,Proxy account routing,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.26,User account routing,X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.27,"The system does not warn the user that the userid is incorrect and still allows the password to be entered. After the password has been entered, it generically communicates that access has not been permitted",X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s9,"Implementation of ""discretionary access control""",X
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s10,"Implementation of ""mandatory access control""",X
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1,Identification and authentication,X
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.1,Password is not displayed on screen as you type,X
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.2,The password is case sensitive.,X
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.3,Password requires special characters,X
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.4,Password must contain at least one numeric character,X
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.5,Password must contain at least one alphabetic character,X
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.6,The password must not contain more than three consecutive numbers or letters,X
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.7,The password must not contain more than two consecutive identical numbers or letters,X
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.8,New passwords must always be entered twice to verify correct typing.,X
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.9,Encryption of passwords in transit on the network,X
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.10,Encryption of passwords stored on the host,X
